URL,Activity
https://aws.amazon.com/free/webapps/,Scrolled
https://aws.amazon.com/lightsail/?trk=80c137f7-7e39-4c7a-b481-96610db15b91&sc_channel=ps,Form Not Found
https://aws.amazon.com/nvidia/project-ceiba/?trk=6335c132-0f10-4af5-b8d1-e26e172a5447&sc_channel=ps,Click Failed
https://www.dreamhost.com/offers/free-website/,Click Failed
https://www.hostinger.com/pk/domain-name-search,Dwell
https://www.hostinger.com/pk/free-domain,Scrolled
https://www.hostinger.com/pk/vps-hosting,Form Not Found
https://www.hostinger.com/pk/web-hosting,Click Failed
https://www.hostinger.com/web-hosting,Dwell
https://www.top10.com/hosting/cheaphosting-comparison,Scrolled
https://www.top10.com/hosting/comparison,Form Not Found
https://www.top10.com/hosting/domainhosting-comparison,Clicked
https://shown.io/en/google-ads,Dwell
https://www.omneky.com/,Scrolled
